feature,importance_mean,importance_std
nba_debut_age,0.1970729017160638,0.04748146402976948
cbb_advanced_BPM,0.032745313334213606,0.019255016313768424
cbb_advanced_OBPM,0.019808204085151257,0.010511687944760834
cbb_advanced_TSpct,0.011536644225899199,0.009113627021902004
cbb_advanced_ASTpct,0.00975002762468682,0.00885621945117704
cbb_advanced_USGpct,0.007532728975246035,0.006248585836417524
pos_is_PF,0.006105707090530687,0.004136973588458381
cbb_advanced_PER,0.004027759535034159,0.0029632063915945805
cbb_advanced_DBPM,0.0029953200032966087,0.018519203540821046
pos_is_SF,0.0029727395377636555,0.008094956019443298
cbb_advanced_OWS,0.0019759215711655244,0.001368322365641661
cbb_advanced_DRBpct,0.0016349689045666916,0.003515468796261903
cbb_advanced_WS,0.0011874156278326887,0.00216114212626378
pos_is_C,-0.000319837240942733,0.0028221030882686618
cbb_advanced_TRBpct,-0.0012975179387971813,0.0041770434158186626
pos_is_SG,-0.0013875523185241168,0.0037429029108849527
cbb_advanced_BLKpct,-0.0015443819167759898,0.0033075438611905607
cbb_advanced_STLpct,-0.0016567067448465256,0.003908189219523626
cbb_advanced_WS_40,-0.0035471023373744126,0.007327788899470885
cbb_advanced_ORBpct,-0.0036271685401366716,0.004059921884602077
cbb_advanced_DWS,-0.007102742084308469,0.006206044432796509
cbb_advanced_TOVpct,-0.012178350445512059,0.00748056794759175
