season,player_name,nba_player_id,nba_player_url
2018,T.J. Leaf,leaftj01,https://www.basketball-reference.com/players/l/leaftj01.html
2018,Courtney Lee,leeco01,https://www.basketball-reference.com/players/l/leeco01.html
2018,Damion Lee,leeda03,https://www.basketball-reference.com/players/l/leeda03.html
2018,Walt Lemon Jr.,lemonwa01,https://www.basketball-reference.com/players/l/lemonwa01.html
2018,Alex Len,lenal01,https://www.basketball-reference.com/players/l/lenal01.html
2018,Kawhi Leonard,leonaka01,https://www.basketball-reference.com/players/l/leonaka01.html
2018,Meyers Leonard,leoname01,https://www.basketball-reference.com/players/l/leoname01.html
2018,Jon Leuer,leuerjo01,https://www.basketball-reference.com/players/l/leuerjo01.html
2018,Caris LeVert,leverca01,https://www.basketball-reference.com/players/l/leverca01.html
2018,DeAndre Liggins,liggide01,https://www.basketball-reference.com/players/l/liggide01.html
2018,Damian Lillard,lillada01,https://www.basketball-reference.com/players/l/lillada01.html
2018,Jeremy Lin,linje01,https://www.basketball-reference.com/players/l/linje01.html
2018,Shaun Livingston,livinsh01,https://www.basketball-reference.com/players/l/livinsh01.html
2018,Kevon Looney,looneke01,https://www.basketball-reference.com/players/l/looneke01.html
2018,Brook Lopez,lopezbr01,https://www.basketball-reference.com/players/l/lopezbr01.html
2018,Robin Lopez,lopezro01,https://www.basketball-reference.com/players/l/lopezro01.html
2018,Kevin Love,loveke01,https://www.basketball-reference.com/players/l/loveke01.html
2018,Kyle Lowry,lowryky01,https://www.basketball-reference.com/players/l/lowryky01.html
2018,Timothé Luwawu-Cabarrot,luwawti01,https://www.basketball-reference.com/players/l/luwawti01.html
2018,Tyler Lydon,lydonty01,https://www.basketball-reference.com/players/l/lydonty01.html
2018,Trey Lyles,lylestr01,https://www.basketball-reference.com/players/l/lylestr01.html
2018,Shelvin Mack,macksh01,https://www.basketball-reference.com/players/m/macksh01.html
2018,Josh Magette,magetjo01,https://www.basketball-reference.com/players/m/magetjo01.html
2018,Ian Mahinmi,mahinia01,https://www.basketball-reference.com/players/m/mahinia01.html
2018,Thon Maker,makerth01,https://www.basketball-reference.com/players/m/makerth01.html
2018,Boban Marjanović,marjabo01,https://www.basketball-reference.com/players/m/marjabo01.html
2018,Lauri Markkanen,markkla01,https://www.basketball-reference.com/players/m/markkla01.html
2018,Jarell Martin,martija01,https://www.basketball-reference.com/players/m/martija01.html
2018,Frank Mason III,masonfr01,https://www.basketball-reference.com/players/m/masonfr01.html
2018,Mangok Mathiang,mathima01,https://www.basketball-reference.com/players/m/mathima01.html
2018,Wesley Matthews,matthwe02,https://www.basketball-reference.com/players/m/matthwe02.html
2018,Luc Mbah a Moute,mbahalu01,https://www.basketball-reference.com/players/m/mbahalu01.html
2018,James Michael McAdoo,mcadoja01,https://www.basketball-reference.com/players/m/mcadoja01.html
2018,Patrick McCaw,mccawpa01,https://www.basketball-reference.com/players/m/mccawpa01.html
2018,CJ McCollum,mccolcj01,https://www.basketball-reference.com/players/m/mccolcj01.html
2018,T.J. McConnell,mccontj01,https://www.basketball-reference.com/players/m/mccontj01.html
2018,Erik McCree,mccreer01,https://www.basketball-reference.com/players/m/mccreer01.html
2018,Chris McCullough,mcculch01,https://www.basketball-reference.com/players/m/mcculch01.html
2018,Doug McDermott,mcderdo01,https://www.basketball-reference.com/players/m/mcderdo01.html
2018,JaVale McGee,mcgeeja01,https://www.basketball-reference.com/players/m/mcgeeja01.html
2018,Rodney McGruder,mcgruro01,https://www.basketball-reference.com/players/m/mcgruro01.html
2018,Alfonzo McKinnie,mckinal01,https://www.basketball-reference.com/players/m/mckinal01.html
2018,Trey McKinney-Jones,mckintr01,https://www.basketball-reference.com/players/m/mckintr01.html
2018,Ben McLemore,mclembe01,https://www.basketball-reference.com/players/m/mclembe01.html
2018,Josh McRoberts,mcrobjo01,https://www.basketball-reference.com/players/m/mcrobjo01.html
2018,Jodie Meeks,meeksjo01,https://www.basketball-reference.com/players/m/meeksjo01.html
2018,Salah Mejri,mejrisa01,https://www.basketball-reference.com/players/m/mejrisa01.html
2018,Jordan Mickey,mickejo01,https://www.basketball-reference.com/players/m/mickejo01.html
2018,Khris Middleton,middlkh01,https://www.basketball-reference.com/players/m/middlkh01.html
2018,C.J. Miles,milescj01,https://www.basketball-reference.com/players/m/milescj01.html
2018,Darius Miller,milleda01,https://www.basketball-reference.com/players/m/milleda01.html
2018,Malcolm Miller,millema01,https://www.basketball-reference.com/players/m/millema01.html
2018,Paul Millsap,millspa01,https://www.basketball-reference.com/players/m/millspa01.html
2018,Patty Mills,millspa02,https://www.basketball-reference.com/players/m/millspa02.html
2018,Nikola Mirotić,mirotni01,https://www.basketball-reference.com/players/m/mirotni01.html
2018,Donovan Mitchell,mitchdo01,https://www.basketball-reference.com/players/m/mitchdo01.html
2018,Naz Mitrou-Long,mitrona01,https://www.basketball-reference.com/players/m/mitrona01.html
2018,Malik Monk,monkma01,https://www.basketball-reference.com/players/m/monkma01.html
2018,Greg Monroe,monrogr01,https://www.basketball-reference.com/players/m/monrogr01.html
2018,Luis Montero,montelu01,https://www.basketball-reference.com/players/m/montelu01.html
2018,Ben Moore,moorebe01,https://www.basketball-reference.com/players/m/moorebe01.html
2018,E'Twaun Moore,mooreet01,https://www.basketball-reference.com/players/m/mooreet01.html
2018,Eric Moreland,moreler01,https://www.basketball-reference.com/players/m/moreler01.html
2018,Jaylen Morris,morrija01,https://www.basketball-reference.com/players/m/morrija01.html
2018,Markieff Morris,morrima02,https://www.basketball-reference.com/players/m/morrima02.html
2018,Marcus Morris,morrima03,https://www.basketball-reference.com/players/m/morrima03.html
2018,Monte Morris,morrimo01,https://www.basketball-reference.com/players/m/morrimo01.html
2018,Johnathan Motley,motlejo01,https://www.basketball-reference.com/players/m/motlejo01.html
2018,Timofey Mozgov,mozgoti01,https://www.basketball-reference.com/players/m/mozgoti01.html
2018,Emmanuel Mudiay,mudiaem01,https://www.basketball-reference.com/players/m/mudiaem01.html
2018,Shabazz Muhammad,muhamsh01,https://www.basketball-reference.com/players/m/muhamsh01.html
2018,Xavier Munford,munfoxa02,https://www.basketball-reference.com/players/m/munfoxa02.html
2018,Dejounte Murray,murrade01,https://www.basketball-reference.com/players/m/murrade01.html
2018,Jamal Murray,murraja01,https://www.basketball-reference.com/players/m/murraja01.html
2018,Mike Muscala,muscami01,https://www.basketball-reference.com/players/m/muscami01.html
2018,Abdel Nader,naderab01,https://www.basketball-reference.com/players/n/naderab01.html
2018,Larry Nance Jr.,nancela02,https://www.basketball-reference.com/players/n/nancela02.html
2018,Shabazz Napier,napiesh01,https://www.basketball-reference.com/players/n/napiesh01.html
2018,Jameer Nelson,nelsoja01,https://www.basketball-reference.com/players/n/nelsoja01.html
2018,Raul Neto,netora01,https://www.basketball-reference.com/players/n/netora01.html
2018,Georges Niang,niangge01,https://www.basketball-reference.com/players/n/niangge01.html
