,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13
cbb_advanced_3PAr,-0.1807039120674863,-0.0222838134424782,0.1331227915818266,-0.044368101580203725,-0.04872580965778356,-0.11321059921451689,0.017827251711195424,0.10042704051559796,0.12569213430302717,-0.06350104345164685,0.07460472048859096,-0.11800486308687973,0.009131262821408288
cbb_advanced_ASTpct,-0.1119013228642538,0.03973617071404829,-0.07382423666195195,0.07608378769081058,0.28431547867057827,0.06203277568547293,-0.125265622178974,0.04845662457601087,-0.14739289578649645,-0.12963933681031034,0.018537365567259538,0.0011324548228256607,-0.1447307468468052
cbb_advanced_BLKpct,0.1781939857275589,-0.008973746008069515,0.006635792023628739,-0.05445112534581473,0.014086400988175929,-0.08575518311522856,0.10125810097256913,-0.020703860732018853,0.14697742791912857,-0.1586024283430295,-0.18994479511153683,0.14991470174256868,-0.11327723368633594
cbb_advanced_BPM,0.045793666234927435,0.11687279845304777,0.1539644690599984,-0.06915121466297026,0.21910886151994635,-0.17415681916613593,0.05136380293044193,-0.09922140828883003,-0.01963790324264647,-0.042434037817915354,-0.04553093001828165,-0.054042457760485385,-0.09467677654373247
cbb_advanced_DBPM,0.0751306420284213,-0.0007684513567506324,-0.039223829487197465,-0.1558723156533552,0.25498187268213746,-0.20968588379516895,0.09477414094166109,-0.10328437160873137,0.10668181200879456,-0.015612199988444375,-0.12923687380820414,0.031095253408661566,-0.1411721453368966
cbb_advanced_DRBpct,0.17312412672495664,0.02612975733796774,-0.01941242142925631,0.040225879483622454,-0.05317792833751844,-0.2047430002579087,-0.04716224895294859,0.20887462678271632,-0.07704362716222178,-0.12513114952373924,0.08800076447623567,-0.04299670692387894,0.0514517636401078
cbb_advanced_DWS,0.03491894706060934,0.13542389657759243,-0.09769766776873223,-0.14675068534490665,0.09380180940198535,-0.25021613663096853,0.02748523557124451,-0.001779863957911354,0.04059907735971413,-0.006178284547668458,-0.08163361727313424,-0.04256736733420492,-0.057034910813946293
cbb_advanced_FTr,0.11342234052134346,0.047771233255611244,-0.0801688045248182,0.06115423650640528,0.1186237280667416,0.15952905940925538,0.38512670177503716,0.06263428746998206,-0.013870150125973646,0.06732558557465011,0.04994513808348415,-0.10298790798572965,0.1056816676312148
cbb_advanced_G,-0.045370476365779434,0.1463861200767621,-0.10823210728387864,-0.19766516811034274,-0.08285313851375742,0.04690673325500472,0.037153239123885184,-0.056545638381603314,0.11003731258755538,0.08904323277794587,0.020524810261733833,-0.0576254764519723,-0.16095350164104566
cbb_advanced_GS,-0.0539597807652544,0.1707278786525691,-0.07978879966661459,-0.1336746844060131,-0.06284501255062325,0.009930080519874929,-0.010495330858036375,0.02489464190855295,-0.0470355015526987,-0.09114550373969754,-0.06475447375508714,0.127410308066503,0.20830685015958528
