college_player_id,college_url,3PAr,ASTpct,Awards,BLKpct,BPM,Class,Conf,DBPM,DRBpct,DWS,FTr,G,GS,MP,OBPM,ORBpct,OWS,PER,PProd,Pos,STLpct,Season,TOVpct,TRBpct,TSpct,Team,USGpct,WS,WS_40
lamarcus-aldridge-1,https://www.sports-reference.com/cbb/players/lamarcus-aldridge-1.html,0.0,3.3,,4.1,,SO,Big 12,,,5.3,0.47,37.0,37.0,1247.0,,,3.4,,,F,,2005-06,11.1,15.5,0.589,Texas,21.1,8.7,0.278
lamarcus-aldridge-1,https://www.sports-reference.com/cbb/players/lamarcus-aldridge-1.html,0.0,4.3,,4.2,,Career,Career,,,6.5,0.527,53.0,53.0,1602.0,,,4.7,,,,,Career,12.9,15.3,0.605,Career,20.9,11.2,0.28
malik-allen-1,https://www.sports-reference.com/cbb/players/malik-allen-1.html,0.0,,,,,FR,Big East,,,0.7,0.882,33.0,0.0,357.0,,,0.0,,,C,,1996-97,22.5,,0.463,Villanova,,0.7,0.082
malik-allen-1,https://www.sports-reference.com/cbb/players/malik-allen-1.html,0.0,,,,,SO,Big East,,,1.2,0.412,29.0,28.0,715.0,,,0.7,,,C,,1997-98,18.6,,0.517,Villanova,,1.9,0.107
malik-allen-1,https://www.sports-reference.com/cbb/players/malik-allen-1.html,0.0,,,,,JR,Big East,,,2.0,0.444,32.0,,887.0,,,2.4,,,C,,1998-99,16.1,,0.612,Villanova,,4.4,0.2
malik-allen-1,https://www.sports-reference.com/cbb/players/malik-allen-1.html,0.0,,,,,SR,Big East,,,2.1,0.397,33.0,33.0,1103.0,,,2.1,,,C,,1999-00,14.7,,0.546,Villanova,,4.2,0.151
malik-allen-1,https://www.sports-reference.com/cbb/players/malik-allen-1.html,0.0,,,,,Career,Career,,,6.0,0.443,127.0,61.0,3062.0,,,5.2,,,,,Career,16.6,,0.552,Career,,11.2,0.147
ray-allen-1,https://www.sports-reference.com/cbb/players/ray-allen-1.html,0.265,,,,,FR,Big East,,,,0.326,34.0,0.0,735.0,,,,,,G,,1993-94,11.6,,0.599,UConn,,,
ray-allen-1,https://www.sports-reference.com/cbb/players/ray-allen-1.html,0.367,,,,,SO,Big East,,,,0.211,32.0,31.0,1051.0,,,,,,G,,1994-95,10.0,,0.589,UConn,,,
ray-allen-1,https://www.sports-reference.com/cbb/players/ray-allen-1.html,0.4,,AA-1,,,JR,Big East,,,3.3,0.238,35.0,35.0,1215.0,,,5.0,,,G,,1995-96,10.7,,0.595,UConn,,8.3,0.274
ray-allen-1,https://www.sports-reference.com/cbb/players/ray-allen-1.html,0.359,,,,,Career,Career,,,3.3,0.247,101.0,66.0,3001.0,,,5.0,,,,,Career,10.7,,0.594,Career,,8.3,0.111
tony-allen-1,https://www.sports-reference.com/cbb/players/tony-allen-1.html,0.208,19.0,,1.7,,JR,Big 12,,,2.8,0.416,32.0,28.0,998.0,,,1.7,,,G,,2002-03,17.1,9.6,0.527,Oklahoma St.,26.1,4.5,0.181
tony-allen-1,https://www.sports-reference.com/cbb/players/tony-allen-1.html,0.183,,,,,SR,Big 12,,,3.4,0.479,35.0,34.0,1107.0,,,2.9,,,G,,2003-04,16.5,,0.564,Oklahoma St.,,6.3,0.228
tony-allen-1,https://www.sports-reference.com/cbb/players/tony-allen-1.html,0.195,19.0,,1.7,,Career,Career,,,6.3,0.449,67.0,62.0,2105.0,,,4.6,,,,,Career,16.8,9.6,0.547,Career,26.1,10.8,0.206
al-farouq-aminu-1,https://www.sports-reference.com/cbb/players/al-farouq-aminu-1.html,0.138,,,,,FR,ACC,,,2.2,0.537,31.0,30.0,899.0,,,1.9,,,F,,2008-09,18.6,,0.564,Wake Forest,,4.1,0.182
al-farouq-aminu-1,https://www.sports-reference.com/cbb/players/al-farouq-aminu-1.html,0.176,9.1,,4.5,,SO,ACC,,20.5,2.2,0.532,31.0,30.0,970.0,,14.6,2.0,24.4,488.0,F,2.6,2009-10,17.4,17.6,0.524,Wake Forest,27.5,4.3,0.176
al-farouq-aminu-1,https://www.sports-reference.com/cbb/players/al-farouq-aminu-1.html,0.16,9.1,,4.5,,Career,Career,,20.5,4.4,0.534,62.0,60.0,1869.0,,14.6,3.9,24.4,488.0,,2.6,Career,17.9,17.6,0.541,Career,27.5,8.3,0.179
louis-amundson-1,https://www.sports-reference.com/cbb/players/louis-amundson-1.html,0.0,5.0,,2.2,,FR,MWC,,,0.5,0.724,30.0,1.0,315.0,,,0.3,,,F,,2001-02,14.3,12.7,0.532,UNLV,13.8,0.8,0.096
louis-amundson-1,https://www.sports-reference.com/cbb/players/louis-amundson-1.html,0.01,4.1,,4.0,,SO,MWC,,,0.8,0.677,31.0,8.0,498.0,,,0.5,,,F,,2003-04,24.3,14.8,0.531,UNLV,17.3,1.3,0.103
louis-amundson-1,https://www.sports-reference.com/cbb/players/louis-amundson-1.html,0.0,,,,,JR,MWC,,,1.8,0.428,30.0,30.0,725.0,,,0.6,,,F,,2004-05,16.4,,0.518,UNLV,,2.5,0.136
louis-amundson-1,https://www.sports-reference.com/cbb/players/louis-amundson-1.html,0.0,9.0,,3.5,,SR,MWC,,,2.8,0.555,29.0,29.0,815.0,,,1.7,,,F,,2005-06,16.3,17.5,0.544,UNLV,27.5,4.5,0.22
louis-amundson-1,https://www.sports-reference.com/cbb/players/louis-amundson-1.html,0.002,6.7,,3.4,,Career,Career,,,5.9,0.552,120.0,68.0,2353.0,,,3.1,,,,,Career,17.5,15.8,0.534,Career,21.7,9.0,0.153
james-anderson-3,https://www.sports-reference.com/cbb/players/james-anderson-3.html,0.521,7.9,,1.2,,FR,Big 12,,,1.2,0.309,33.0,31.0,1021.0,,,2.1,,,G,,2007-08,14.3,7.3,0.562,Oklahoma St.,22.7,3.4,0.132
james-anderson-3,https://www.sports-reference.com/cbb/players/james-anderson-3.html,0.475,8.3,,1.6,,SO,Big 12,,,1.5,0.378,35.0,35.0,1171.0,,,4.2,,,G,,2008-09,11.9,9.5,0.623,Oklahoma St.,24.3,5.7,0.193
james-anderson-3,https://www.sports-reference.com/cbb/players/james-anderson-3.html,0.439,16.5,AA-2,2.0,,JR,Big 12,,12.9,1.7,0.522,33.0,33.0,1124.0,,6.7,5.2,29.2,698.0,G,2.4,2009-10,11.2,9.9,0.596,Oklahoma St.,31.5,6.9,0.247
james-anderson-3,https://www.sports-reference.com/cbb/players/james-anderson-3.html,0.473,11.0,,1.6,,Career,Career,,12.9,4.4,0.416,101.0,99.0,3316.0,,6.7,11.6,29.2,698.0,,2.4,Career,12.3,9.0,0.596,Career,26.3,16.0,0.193
ryan-anderson-1,https://www.sports-reference.com/cbb/players/ryan-anderson-1.html,0.383,,,,,FR,Pac-10,,,1.6,0.325,33.0,33.0,1096.0,,,3.1,,,F,,2006-07,9.3,,0.588,Cal,,4.7,0.171
ryan-anderson-1,https://www.sports-reference.com/cbb/players/ryan-anderson-1.html,0.333,9.7,,1.1,,SO,Pac-10,,,1.1,0.424,33.0,33.0,1082.0,,,4.4,,,F,,2007-08,11.6,17.9,0.618,Cal,29.4,5.5,0.204
ryan-anderson-1,https://www.sports-reference.com/cbb/players/ryan-anderson-1.html,0.356,9.7,,1.1,,Career,Career,,,2.7,0.379,66.0,66.0,2178.0,,,7.5,,,,,Career,10.6,17.9,0.605,Career,29.4,10.2,0.188
carmelo-anthony-1,https://www.sports-reference.com/cbb/players/carmelo-anthony-1.html,0.271,11.9,AA-2,1.5,,FR,Big East,,,3.1,0.389,35.0,35.0,1274.0,,,2.7,,,F,,2002-03,9.6,14.0,0.537,Syracuse,29.3,5.8,0.183
carmelo-anthony-1,https://www.sports-reference.com/cbb/players/carmelo-anthony-1.html,0.271,11.9,,1.5,,Career,Career,,,3.1,0.389,35.0,35.0,1274.0,,,2.7,,,,,Career,9.6,14.0,0.537,Career,29.3,5.8,0.183
joel-anthony-1,https://www.sports-reference.com/cbb/players/joel-anthony-1.html,0.0,,,,,JR,MWC,,,1.2,0.659,31.0,3.0,423.0,,,0.1,,,C,,2004-05,16.0,,0.502,UNLV,,1.3,0.12
joel-anthony-1,https://www.sports-reference.com/cbb/players/joel-anthony-1.html,0.0,,,,,SR,MWC,,,3.5,0.396,37.0,6.0,669.0,,,1.2,,,C,,2006-07,15.9,,0.603,UNLV,,4.7,0.283
joel-anthony-1,https://www.sports-reference.com/cbb/players/joel-anthony-1.html,0.0,,,,,Career,Career,,,4.7,0.461,68.0,9.0,1092.0,,,1.3,,,,,Career,15.9,,0.576,Career,,6.0,0.22
gilbert-arenas-1,https://www.sports-reference.com/cbb/players/gilbert-arenas-1.html,0.315,,,,,FR,Pac-10,,,2.1,0.358,34.0,31.0,1093.0,,,2.2,,,G,,1999-00,15.3,,0.541,Arizona,,4.3,0.156
gilbert-arenas-1,https://www.sports-reference.com/cbb/players/gilbert-arenas-1.html,0.382,,,,,SO,Pac-10,,,2.3,0.309,36.0,33.0,1044.0,,,3.2,,,G,,2000-01,16.9,,0.585,Arizona,,5.5,0.211
gilbert-arenas-1,https://www.sports-reference.com/cbb/players/gilbert-arenas-1.html,0.349,,,,,Career,Career,,,4.3,0.333,70.0,64.0,2137.0,,,5.4,,,,,Career,16.1,,0.563,Career,,9.8,0.183
trevor-ariza-1,https://www.sports-reference.com/cbb/players/trevor-ariza-1.html,0.303,,,,,FR,Pac-10,,,0.8,0.45,25.0,23.0,789.0,,,0.2,,,F,,2003-04,21.0,,0.474,UCLA,,1.0,0.052
trevor-ariza-1,https://www.sports-reference.com/cbb/players/trevor-ariza-1.html,0.303,,,,,Career,Career,,,0.8,0.45,25.0,23.0,789.0,,,0.2,,,,,Career,21.0,,0.474,Career,,1.0,0.052
hilton-armstrong-1,https://www.sports-reference.com/cbb/players/hilton-armstrong-1.html,0.0,10.2,,4.3,,FR,Big East,,,0.9,0.485,32.0,22.0,346.0,,,0.3,,,C,,2002-03,27.0,13.1,0.542,UConn,14.6,1.3,0.145
hilton-armstrong-1,https://www.sports-reference.com/cbb/players/hilton-armstrong-1.html,0.016,4.4,,4.7,,SO,Big East,,,1.2,0.766,35.0,1.0,318.0,,,0.1,,,C,,2003-04,19.4,15.5,0.476,UConn,16.0,1.2,0.155
hilton-armstrong-1,https://www.sports-reference.com/cbb/players/hilton-armstrong-1.html,0.0,,,,,JR,Big East,,,1.3,0.772,30.0,0.0,373.0,,,0.4,,,C,,2004-05,22.3,,0.528,UConn,,1.7,0.181
hilton-armstrong-1,https://www.sports-reference.com/cbb/players/hilton-armstrong-1.html,0.01,4.5,,7.1,,SR,Big East,,,3.5,0.686,34.0,33.0,943.0,,,2.4,,,C,,2005-06,23.0,12.5,0.64,UConn,16.3,5.9,0.249
hilton-armstrong-1,https://www.sports-reference.com/cbb/players/hilton-armstrong-1.html,0.007,5.7,,6.0,,Career,Career,,,6.9,0.682,131.0,56.0,1980.0,,,3.1,,,,,Career,23.0,13.2,0.575,Career,15.9,10.1,0.203
carlos-arroyo-1,https://www.sports-reference.com/cbb/players/carlos-arroyo-1.html,0.341,,,,,FR,TAAC,,,1.2,0.333,29.0,,774.0,,,1.4,,,G,,1997-98,,,0.543,FIU,,2.6,0.133
carlos-arroyo-1,https://www.sports-reference.com/cbb/players/carlos-arroyo-1.html,0.463,,,,,SO,Sun Belt,,,0.3,0.379,20.0,,596.0,,,1.3,,,G,,1998-99,,,0.555,FIU,,1.6,0.111
carlos-arroyo-1,https://www.sports-reference.com/cbb/players/carlos-arroyo-1.html,0.515,,,,,JR,Sun Belt,,,0.9,0.291,22.0,22.0,792.0,,,2.3,,,G,,1999-00,20.4,,0.572,FIU,,3.2,0.159
carlos-arroyo-1,https://www.sports-reference.com/cbb/players/carlos-arroyo-1.html,0.353,,,,,SR,Sun Belt,,,0.5,0.361,29.0,29.0,1113.0,,,2.4,,,G,,2000-01,15.5,,0.527,FIU,,2.9,0.104
carlos-arroyo-1,https://www.sports-reference.com/cbb/players/carlos-arroyo-1.html,0.405,,,,,Career,Career,,,3.0,0.341,100.0,51.0,3275.0,,,7.3,,,,,Career,17.3,,0.545,Career,,10.3,0.126
ron-artest-1,https://www.sports-reference.com/cbb/players/ron-artest-1.html,0.31,,,,,FR,Big East,,,2.9,0.34,32.0,12.0,870.0,,,0.4,,,F,,1997-98,19.1,,0.478,St. John's (NY),,3.3,0.151
ron-artest-1,https://www.sports-reference.com/cbb/players/ron-artest-1.html,0.371,,,,,SO,Big East,,,5.1,0.316,37.0,37.0,1265.0,,,2.7,,,F,,1998-99,17.9,,0.556,St. John's (NY),,7.8,0.246
ron-artest-1,https://www.sports-reference.com/cbb/players/ron-artest-1.html,0.344,,,,,Career,Career,,,8.0,0.327,69.0,49.0,2135.0,,,3.1,,,,,Career,18.5,,0.521,Career,,11.1,0.208
darrell-arthur-1,https://www.sports-reference.com/cbb/players/darrell-arthur-1.html,0.017,4.7,,5.6,,FR,Big 12,,,3.1,0.344,38.0,7.0,721.0,,,1.6,,,F,,2006-07,13.4,13.6,0.558,Kansas,26.0,4.8,0.265
darrell-arthur-1,https://www.sports-reference.com/cbb/players/darrell-arthur-1.html,0.03,,,,,SO,Big 12,,,3.3,0.289,40.0,39.0,989.0,,,2.5,,,F,,2007-08,14.3,,0.569,Kansas,,5.8,0.234
darrell-arthur-1,https://www.sports-reference.com/cbb/players/darrell-arthur-1.html,0.025,4.7,,5.6,,Career,Career,,,6.5,0.312,78.0,46.0,1710.0,,,4.1,,,,,Career,14.0,13.6,0.564,Career,26.0,10.6,0.247
dj-augustin-1,https://www.sports-reference.com/cbb/players/dj-augustin-1.html,0.297,34.3,,0.2,,FR,Big 12,,,2.0,0.522,35.0,35.0,1245.0,,,2.8,,,G,,2006-07,21.2,4.2,0.588,Texas,20.9,4.7,0.152
dj-augustin-1,https://www.sports-reference.com/cbb/players/dj-augustin-1.html,0.352,,AA-1,,,SO,Big 12,,,2.6,0.401,38.0,38.0,1417.0,,,3.4,,,G,,2007-08,13.8,,0.557,Texas,,6.0,0.169
dj-augustin-1,https://www.sports-reference.com/cbb/players/dj-augustin-1.html,0.331,34.3,,0.2,,Career,Career,,,4.5,0.447,73.0,73.0,2662.0,,,6.2,,,,,Career,16.9,4.2,0.569,Career,20.9,10.7,0.161
luke-babbitt-1,https://www.sports-reference.com/cbb/players/luke-babbitt-1.html,0.181,,,,,FR,WAC,,,2.3,0.414,34.0,34.0,1110.0,,,2.9,,,F,,2008-09,11.3,,0.563,Nevada,,5.3,0.19
luke-babbitt-1,https://www.sports-reference.com/cbb/players/luke-babbitt-1.html,0.201,11.0,,1.9,,SO,WAC,,19.4,1.3,0.432,34.0,34.0,1260.0,,6.6,5.4,27.7,697.0,F,1.6,2009-10,11.8,13.4,0.614,Nevada,26.8,6.7,0.213
luke-babbitt-1,https://www.sports-reference.com/cbb/players/luke-babbitt-1.html,0.192,11.0,,1.9,,Career,Career,,19.4,3.6,0.424,68.0,68.0,2370.0,,6.6,8.4,27.7,697.0,,1.6,Career,11.6,13.4,0.591,Career,26.8,12.0,0.202
renaldo-balkman-1,https://www.sports-reference.com/cbb/players/renaldo-balkman-1.html,0.147,16.5,,5.2,,FR,SEC,,,2.6,0.485,33.0,8.0,600.0,,,1.3,,,F,,2003-04,23.3,13.9,0.571,South Carolina,22.0,3.9,0.263
renaldo-balkman-1,https://www.sports-reference.com/cbb/players/renaldo-balkman-1.html,0.113,17.9,,2.5,,SO,SEC,,,1.8,0.275,33.0,10.0,615.0,,,0.3,,,F,,2004-05,20.3,15.2,0.492,South Carolina,19.2,2.1,0.137
renaldo-balkman-1,https://www.sports-reference.com/cbb/players/renaldo-balkman-1.html,0.052,15.8,,3.8,,JR,SEC,,,3.0,0.416,38.0,22.0,978.0,,,2.6,,,F,,2005-06,17.8,15.5,0.608,South Carolina,20.4,5.6,0.23
renaldo-balkman-1,https://www.sports-reference.com/cbb/players/renaldo-balkman-1.html,0.096,16.6,,3.8,,Career,Career,,,7.4,0.396,104.0,40.0,2193.0,,,4.3,,,,,Career,20.2,15.0,0.566,Career,20.5,11.7,0.213
marcus-banks-1,https://www.sports-reference.com/cbb/players/marcus-banks-1.html,0.223,18.5,,0.4,,JR,MWC,,,1.0,0.634,31.0,31.0,1006.0,,,2.2,,,G,,2001-02,18.5,5.9,0.56,UNLV,25.5,3.2,0.128
marcus-banks-1,https://www.sports-reference.com/cbb/players/marcus-banks-1.html,0.281,32.8,,0.3,,SR,MWC,,,1.4,0.493,32.0,32.0,1154.0,,,4.2,,,G,,2002-03,19.0,5.6,0.606,UNLV,28.2,5.6,0.195
marcus-banks-1,https://www.sports-reference.com/cbb/players/marcus-banks-1.html,0.256,26.1,,0.3,,Career,Career,,,2.4,0.555,63.0,63.0,2160.0,,,6.4,,,,,Career,18.8,5.7,0.585,Career,26.9,8.8,0.164
jose-barea-1,https://www.sports-reference.com/cbb/players/jose-barea-1.html,0.392,,,,,FR,AmEast,,,1.2,0.371,28.0,28.0,901.0,,,1.5,,,G,,2002-03,14.8,,0.523,Northeastern,,2.7,0.12
jose-barea-1,https://www.sports-reference.com/cbb/players/jose-barea-1.html,0.437,38.2,,0.0,,SO,AmEast,,,1.4,0.313,26.0,25.0,890.0,,,1.2,,,G,,2003-04,12.6,5.5,0.502,Northeastern,31.3,2.6,0.117
jose-barea-1,https://www.sports-reference.com/cbb/players/jose-barea-1.html,0.381,52.1,,0.0,,JR,AmEast,,,1.7,0.3,30.0,30.0,996.0,,,2.2,,,G,,2004-05,17.4,6.8,0.523,Northeastern,37.6,4.0,0.159
jose-barea-1,https://www.sports-reference.com/cbb/players/jose-barea-1.html,0.435,54.2,,0.0,,SR,CAA,,,1.4,0.316,29.0,29.0,974.0,,,1.5,,,G,,2005-06,18.5,7.0,0.508,Northeastern,36.8,3.0,0.122
jose-barea-1,https://www.sports-reference.com/cbb/players/jose-barea-1.html,0.411,48.5,,0.0,,Career,Career,,,5.8,0.322,113.0,112.0,3761.0,,,6.5,,,,,Career,16.0,6.5,0.514,Career,35.3,12.2,0.13
matt-barnes-1,https://www.sports-reference.com/cbb/players/matt-barnes-1.html,0.343,,,,,FR,Pac-10,,,0.8,0.465,30.0,8.0,394.0,,,0.2,,,F,,1998-99,19.9,,0.488,UCLA,,1.0,0.103
matt-barnes-1,https://www.sports-reference.com/cbb/players/matt-barnes-1.html,0.232,,,,,SO,Pac-10,,,0.7,0.312,28.0,1.0,413.0,,,0.3,,,F,,1999-00,18.5,,0.492,UCLA,,1.0,0.097
