nba_player_id,college_player_id,college_url
whiteco01,coby-white-1,https://www.sports-reference.com/cbb/players/coby-white-1.html
willigr01,grant-williams-1,https://www.sports-reference.com/cbb/players/grant-williams-1.html
willini01,nigel-williams-goss-1,https://www.sports-reference.com/cbb/players/nigel-williams-goss-1.html
willizi01,zion-williamson-1,https://www.sports-reference.com/cbb/players/zion-williamson-1.html
wrighju02,justin-wright-foreman-1,https://www.sports-reference.com/cbb/players/justin-wright-foreman-1.html
achiupr01,precious-achiuwa-1,https://www.sports-reference.com/cbb/players/precious-achiuwa-1.html
alexaty01,ty-shon-alexander-1,https://www.sports-reference.com/cbb/players/ty-shon-alexander-1.html
anthoco01,cole-anthony-1,https://www.sports-reference.com/cbb/players/cole-anthony-1.html
azubuud01,udoka-azubuike-1,https://www.sports-reference.com/cbb/players/udoka-azubuike-1.html
banede01,desmond-bane-1,https://www.sports-reference.com/cbb/players/desmond-bane-1.html
beysa01,saddiq-bey-1,https://www.sports-reference.com/cbb/players/saddiq-bey-1.html
beyty01,tyler-bey-1,https://www.sports-reference.com/cbb/players/tyler-bey-1.html
blevike01,keljin-blevins-1,https://www.sports-reference.com/cbb/players/keljin-blevins-1.html
brimaam01,amida-brimah-1,https://www.sports-reference.com/cbb/players/amida-brimah-1.html
brookar01,armoni-brooks-1,https://www.sports-reference.com/cbb/players/armoni-brooks-1.html
bryanel01,elijah-bryant-1,https://www.sports-reference.com/cbb/players/elijah-bryant-1.html
cannade01,devin-cannady-1,https://www.sports-reference.com/cbb/players/devin-cannady-1.html
careyve01,vernon-careyjr-1,https://www.sports-reference.com/cbb/players/vernon-careyjr-1.html
darlina01,nate-darling-1,https://www.sports-reference.com/cbb/players/nate-darling-1.html
diakima01,mamadi-diakite-1,https://www.sports-reference.com/cbb/players/mamadi-diakite-1.html
dotsode01,devon-dotson-1,https://www.sports-reference.com/cbb/players/devon-dotson-1.html
edwaran01,anthony-edwards-2,https://www.sports-reference.com/cbb/players/anthony-edwards-2.html
ellebcj01,cj-elleby-1,https://www.sports-reference.com/cbb/players/cj-elleby-1.html
fittsma01,malik-fitts-1,https://www.sports-reference.com/cbb/players/malik-fitts-1.html
flynnma01,malachi-flynn-1,https://www.sports-reference.com/cbb/players/malachi-flynn-1.html
forretr01,trent-forrest-1,https://www.sports-reference.com/cbb/players/trent-forrest-1.html
frankro01,robert-franks-1,https://www.sports-reference.com/cbb/players/robert-franks-1.html
gillan01,anthony-gill-1,https://www.sports-reference.com/cbb/players/anthony-gill-1.html
gillefr01,freddie-gillespie-1,https://www.sports-reference.com/cbb/players/freddie-gillespie-1.html
greenjo02,josh-green-2,https://www.sports-reference.com/cbb/players/josh-green-2.html
haganas01,ashton-hagans-1,https://www.sports-reference.com/cbb/players/ashton-hagans-1.html
halibty01,tyrese-haliburton-1,https://www.sports-reference.com/cbb/players/tyrese-haliburton-1.html
harrija01,jalen-harris-2,https://www.sports-reference.com/cbb/players/jalen-harris-2.html
hintona01,nate-hinton-1,https://www.sports-reference.com/cbb/players/nate-hinton-1.html
howarma02,markus-howard-1,https://www.sports-reference.com/cbb/players/markus-howard-1.html
hugheel01,elijah-hughes-1,https://www.sports-reference.com/cbb/players/elijah-hughes-1.html
joeis01,isaiah-joe-1,https://www.sports-reference.com/cbb/players/isaiah-joe-1.html
jonesma05,mason-jones-1,https://www.sports-reference.com/cbb/players/mason-jones-1.html
jonestr01,tre-jones-1,https://www.sports-reference.com/cbb/players/tre-jones-1.html
knighna01,nathan-knight-1,https://www.sports-reference.com/cbb/players/nathan-knight-1.html
lamban01,anthony-lamb-2,https://www.sports-reference.com/cbb/players/anthony-lamb-2.html
leesa01,saben-lee-1,https://www.sports-reference.com/cbb/players/saben-lee-1.html
lewiski01,kira-lewisjr-1,https://www.sports-reference.com/cbb/players/kira-lewisjr-1.html
magnawi01,will-magnay-1,https://www.sports-reference.com/cbb/players/will-magnay-1.html
mannini01,nico-mannion-1,https://www.sports-reference.com/cbb/players/nico-mannion-1.html
marshna01,naji-marshall-1,https://www.sports-reference.com/cbb/players/naji-marshall-1.html
mathida01,dakota-mathias-1,https://www.sports-reference.com/cbb/players/dakota-mathias-1.html
maxeyty01,tyrese-maxey-1,https://www.sports-reference.com/cbb/players/tyrese-maxey-1.html
mayssk01,skylar-mays-1,https://www.sports-reference.com/cbb/players/skylar-mays-1.html
mcdanja02,jaden-mcdaniels-1,https://www.sports-reference.com/cbb/players/jaden-mcdaniels-1.html
mcderse01,sean-mcdermott-1,https://www.sports-reference.com/cbb/players/sean-mcdermott-1.html
merrisa01,sam-merrill-1,https://www.sports-reference.com/cbb/players/sam-merrill-1.html
nesmiaa01,aaron-nesmith-1,https://www.sports-reference.com/cbb/players/aaron-nesmith-1.html
nnajize01,zeke-nnaji-1,https://www.sports-reference.com/cbb/players/zeke-nnaji-1.html
nworajo01,jordan-nwora-1,https://www.sports-reference.com/cbb/players/jordan-nwora-1.html
okekech01,chuma-okeke-1,https://www.sports-reference.com/cbb/players/chuma-okeke-1.html
okongon01,onyeka-okongwu-1,https://www.sports-reference.com/cbb/players/onyeka-okongwu-1.html
okorois01,isaac-okoro-1,https://www.sports-reference.com/cbb/players/isaac-okoro-1.html
oliveca01,cameron-oliver-1,https://www.sports-reference.com/cbb/players/cameron-oliver-1.html
oturuda01,daniel-oturu-1,https://www.sports-reference.com/cbb/players/daniel-oturu-1.html
perryre01,reggie-perry-2,https://www.sports-reference.com/cbb/players/reggie-perry-2.html
portejo01,jontay-porter-1,https://www.sports-reference.com/cbb/players/jontay-porter-1.html
pritcpa01,payton-pritchard-1,https://www.sports-reference.com/cbb/players/payton-pritchard-1.html
quickim01,immanuel-quickley-1,https://www.sports-reference.com/cbb/players/immanuel-quickley-1.html
ramseja01,jahmius-ramsey-1,https://www.sports-reference.com/cbb/players/jahmius-ramsey-1.html
reedpa01,paul-reed-5,https://www.sports-reference.com/cbb/players/paul-reed-5.html
richani01,nick-richards-2,https://www.sports-reference.com/cbb/players/nick-richards-2.html
rillegr01,grant-riller-1,https://www.sports-reference.com/cbb/players/grant-riller-1.html
smithja04,jalen-smith-1,https://www.sports-reference.com/cbb/players/jalen-smith-1.html
stanlca01,cassius-stanley-1,https://www.sports-reference.com/cbb/players/cassius-stanley-1.html
stevela01,lamar-stevens-1,https://www.sports-reference.com/cbb/players/lamar-stevens-1.html
stewais01,isaiah-stewart-2,https://www.sports-reference.com/cbb/players/isaiah-stewart-2.html
tateja01,jaesean-tate-1,https://www.sports-reference.com/cbb/players/jaesean-tate-1.html
terryty01,tyrell-terry-1,https://www.sports-reference.com/cbb/players/tyrell-terry-1.html
tilliki02,killian-tillie-1,https://www.sports-reference.com/cbb/players/killian-tillie-1.html
tillmxa01,xavier-tillman-1,https://www.sports-reference.com/cbb/players/xavier-tillman-1.html
toppiob01,obadiah-toppin-1,https://www.sports-reference.com/cbb/players/obadiah-toppin-1.html
vassede01,devin-vassell-1,https://www.sports-reference.com/cbb/players/devin-vassell-1.html
whittgr01,greg-whittington-1,https://www.sports-reference.com/cbb/players/greg-whittington-1.html
willipa01,patrick-williams-2,https://www.sports-reference.com/cbb/players/patrick-williams-2.html
windldy01,dylan-windler-1,https://www.sports-reference.com/cbb/players/dylan-windler-1.html
winstca01,cassius-winston-1,https://www.sports-reference.com/cbb/players/cassius-winston-1.html
wisemja01,james-wiseman-1,https://www.sports-reference.com/cbb/players/james-wiseman-1.html
woodaro01,robert-woodard-2,https://www.sports-reference.com/cbb/players/robert-woodard-2.html
aldamsa01,santi-aldama-1,https://www.sports-reference.com/cbb/players/santi-aldama-1.html
alvarjo01,jose-alvarado-1,https://www.sports-reference.com/cbb/players/jose-alvarado-1.html
ayayijo01,joel-ayayi-1,https://www.sports-reference.com/cbb/players/joel-ayayi-1.html
bantoda01,dalano-banton-1,https://www.sports-reference.com/cbb/players/dalano-banton-1.html
barbeca01,anthony-cat-barber-1,https://www.sports-reference.com/cbb/players/anthony-cat-barber-1.html
barnesc01,scottie-barnes-1,https://www.sports-reference.com/cbb/players/scottie-barnes-1.html
bassech01,charles-bassey-1,https://www.sports-reference.com/cbb/players/charles-bassey-1.html
basspa01,paris-bass-1,https://www.sports-reference.com/cbb/players/paris-bass-1.html
bostobr01,brandon-bostonjr-1,https://www.sports-reference.com/cbb/players/brandon-bostonjr-1.html
bouknja01,james-bouknight-1,https://www.sports-reference.com/cbb/players/james-bouknight-1.html
brownch05,chaundee-brown-1,https://www.sports-reference.com/cbb/players/chaundee-brown-1.html
browngr01,greg-brown-9,https://www.sports-reference.com/cbb/players/greg-brown-9.html
buchash01,leroy-buchanan-1,https://www.sports-reference.com/cbb/players/leroy-buchanan-1.html
butleja02,jared-butler-1,https://www.sports-reference.com/cbb/players/jared-butler-1.html
caverah01,ahmad-caver-1,https://www.sports-reference.com/cbb/players/ahmad-caver-1.html
champju01,justin-champagnie-1,https://www.sports-reference.com/cbb/players/justin-champagnie-1.html
chrisjo01,josh-christopher-1,https://www.sports-reference.com/cbb/players/josh-christopher-1.html
coopesh01,sharife-cooper-1,https://www.sports-reference.com/cbb/players/sharife-cooper-1.html
cumbeja01,jarron-cumberland-1,https://www.sports-reference.com/cbb/players/jarron-cumberland-1.html
cunnica01,cade-cunningham-1,https://www.sports-reference.com/cbb/players/cade-cunningham-1.html
delauja01,javin-delaurier-1,https://www.sports-reference.com/cbb/players/javin-delaurier-1.html
dosunay01,ayo-dosunmu-1,https://www.sports-reference.com/cbb/players/ayo-dosunmu-1.html
dowtije01,jeff-dowtin-1,https://www.sports-reference.com/cbb/players/jeff-dowtin-1.html
duartch01,chris-duarte-1,https://www.sports-reference.com/cbb/players/chris-duarte-1.html
dukeda01,david-duke-1,https://www.sports-reference.com/cbb/players/david-duke-1.html
echenja01,jaime-echenique-1,https://www.sports-reference.com/cbb/players/jaime-echenique-1.html
edwarke02,kessler-edwards-1,https://www.sports-reference.com/cbb/players/kessler-edwards-1.html
edwarro01,rob-edwards-1,https://www.sports-reference.com/cbb/players/rob-edwards-1.html
fordal03,aleem-ford-1,https://www.sports-reference.com/cbb/players/aleem-ford-1.html
garrema01,marcus-garrett-1,https://www.sports-reference.com/cbb/players/marcus-garrett-1.html
garzalu01,luka-garza-1,https://www.sports-reference.com/cbb/players/luka-garza-1.html
