college_player_id,college_url,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Awards,BLK,Class,Conf,DRB,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,MP,ORB,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
jordan-schakel-1,https://www.sports-reference.com/cbb/players/jordan-schakel-1.html,106.0,221.0,0.48,225.0,527.0,0.427,94.0,,13.0,Career,Career,318.0,331.0,748.0,0.443,147.0,169.0,0.87,121.0,74.0,2774.0,85.0,272.0,1034.0,,89.0,Career,62.0,403.0,Career,0.593
tre-scott-1,https://www.sports-reference.com/cbb/players/tre-scott-1.html,44.0,87.0,0.506,1.0,3.0,0.333,20.0,,15.0,FR,AAC,64.0,45.0,90.0,0.5,16.0,32.0,0.5,34.0,0.0,356.0,24.0,25.0,107.0,F,17.0,2016-17,16.0,88.0,Cincinnati,0.506
tre-scott-1,https://www.sports-reference.com/cbb/players/tre-scott-1.html,41.0,73.0,0.562,0.0,1.0,0.0,32.0,,7.0,SO,AAC,78.0,41.0,74.0,0.554,28.0,47.0,0.596,36.0,0.0,449.0,50.0,38.0,110.0,F,15.0,2017-18,22.0,128.0,Cincinnati,0.554
tre-scott-1,https://www.sports-reference.com/cbb/players/tre-scott-1.html,113.0,226.0,0.5,12.0,39.0,0.308,52.0,,19.0,JR,AAC,158.0,125.0,265.0,0.472,64.0,96.0,0.667,35.0,35.0,1071.0,82.0,60.0,326.0,F,29.0,2018-19,39.0,240.0,Cincinnati,0.494
tre-scott-1,https://www.sports-reference.com/cbb/players/tre-scott-1.html,121.0,221.0,0.548,17.0,59.0,0.288,66.0,,25.0,SR,AAC,233.0,138.0,280.0,0.493,49.0,80.0,0.613,30.0,30.0,1011.0,83.0,56.0,342.0,F,46.0,2019-20,67.0,316.0,Cincinnati,0.523
tre-scott-1,https://www.sports-reference.com/cbb/players/tre-scott-1.html,319.0,607.0,0.526,30.0,102.0,0.294,170.0,,66.0,Career,Career,533.0,349.0,709.0,0.492,157.0,255.0,0.616,135.0,65.0,2887.0,239.0,179.0,885.0,,107.0,Career,144.0,772.0,Career,0.513
dayron-sharpe-1,https://www.sports-reference.com/cbb/players/dayron-sharpe-1.html,112.0,214.0,0.523,0.0,2.0,0.0,42.0,,26.0,FR,ACC,122.0,112.0,216.0,0.519,51.0,101.0,0.505,29.0,4.0,556.0,97.0,59.0,275.0,F,23.0,2020-21,57.0,219.0,UNC,0.519
dayron-sharpe-1,https://www.sports-reference.com/cbb/players/dayron-sharpe-1.html,112.0,214.0,0.523,0.0,2.0,0.0,42.0,,26.0,Career,Career,122.0,112.0,216.0,0.519,51.0,101.0,0.505,29.0,4.0,556.0,97.0,59.0,275.0,,23.0,Career,57.0,219.0,Career,0.519
zavier-simpson-1,https://www.sports-reference.com/cbb/players/zavier-simpson-1.html,11.0,24.0,0.458,5.0,19.0,0.263,37.0,,2.0,FR,Big Ten,20.0,16.0,43.0,0.372,22.0,31.0,0.71,38.0,0.0,332.0,4.0,47.0,59.0,G,20.0,2016-17,19.0,24.0,Michigan,0.43
zavier-simpson-1,https://www.sports-reference.com/cbb/players/zavier-simpson-1.html,91.0,162.0,0.562,24.0,84.0,0.286,150.0,,2.0,SO,Big Ten,115.0,115.0,246.0,0.467,47.0,91.0,0.516,41.0,29.0,1085.0,18.0,55.0,301.0,G,53.0,2017-18,61.0,133.0,Michigan,0.516
