nba_player_id,3PAr,ASTpct,Age,Awards,BLKpct,BPM,DBPM,DRBpct,DWS,FTr,G,GS,Lg,MP,OBPM,ORBpct,OWS,PER,Pos,STLpct,Season,TOVpct,TRBpct,TSpct,Team,USGpct,VORP,WS,WS_48
afflaar01,0.298,9.9,30.0,,0.3,-2.9,-1.6,11.0,0.9,0.164,71.0,57.0,NBA,2371.0,-1.3,1.1,1.8,10.9,SG,0.5,2015-16,8.7,6.1,0.531,NYK,17.9,-0.5,2.7,0.055
afflaar01,0.36,7.4,31.0,,0.3,-3.6,-1.5,8.4,0.2,0.221,61.0,45.0,NBA,1580.0,-2.1,0.7,1.2,8.9,SG,0.7,2016-17,8.4,4.6,0.559,SAC,14.4,-0.7,1.4,0.043
afflaar01,0.432,6.2,32.0,,1.1,-5.4,-1.5,10.1,0.2,0.16,53.0,3.0,NBA,682.0,-3.8,0.6,-0.1,5.8,SG,0.3,2017-18,10.8,5.3,0.516,ORL,12.5,-0.6,0.1,0.009
afflaar01,0.332,10.6,,,0.5,-1.5,-1.0,10.0,9.6,0.252,762.0,537.0,11 Yrs,20829.0,-0.5,1.9,23.9,11.9,,0.8,11 Yrs,10.4,5.9,0.556,11 Yrs,17.8,2.4,33.5,0.077
afflaar01,0.332,10.6,,,0.5,-1.5,-1.0,10.0,1.0,0.252,82.0,58.0,82 Game Avg,2241.0,-0.5,1.9,2.6,11.9,,0.8,82 Game Avg,10.4,5.9,0.556,82 Game Avg,17.8,0.3,3.6,0.077
afflaar01,0.374,10.2,,,0.7,-0.1,-0.7,9.6,3.8,0.257,266.0,259.0,DEN (4 Yrs),8381.0,0.6,2.3,13.8,12.7,,0.9,DEN (4 Yrs),9.9,6.0,0.578,DEN (4 Yrs),16.7,4.0,17.6,0.101
afflaar01,0.294,14.6,,,0.3,-2.0,-1.7,10.2,1.7,0.282,190.0,140.0,ORL (3 Yrs),5541.0,-0.3,1.3,5.7,13.5,,0.7,ORL (3 Yrs),11.6,5.8,0.549,ORL (3 Yrs),21.6,0.0,7.4,0.064
afflaar01,0.287,6.7,,,0.7,-2.1,0.6,11.2,2.4,0.292,149.0,17.0,DET (2 Yrs),2204.0,-2.7,3.5,1.3,9.5,,1.5,DET (2 Yrs),11.2,7.3,0.523,DET (2 Yrs),14.8,-0.1,3.6,0.079
afflaar01,0.298,9.9,,,0.3,-2.9,-1.6,11.0,0.9,0.164,71.0,57.0,NYK (1 Yr),2371.0,-1.3,1.1,1.8,10.9,,0.5,NYK (1 Yr),8.7,6.1,0.531,NYK (1 Yr),17.9,-0.5,2.7,0.055
afflaar01,0.36,7.4,,,0.3,-3.6,-1.5,8.4,0.2,0.221,61.0,45.0,SAC (1 Yr),1580.0,-2.1,0.7,1.2,8.9,,0.7,SAC (1 Yr),8.4,4.6,0.559,SAC (1 Yr),14.4,-0.7,1.4,0.043
