nba_player_id,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Age,Awards,BLK,DRB,DRtg,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,Lg,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
allenma01,7.6,17.2,0.441,0.0,0.1,0.188,1.7,,,1.6,6.5,105.0,7.6,17.3,0.439,1.8,2.4,0.778,478.0,125.0,10 Yrs,7262.0,3.4,95.0,6.6,17.0,,0.9,10 Yrs,2.3,9.9,10 Yrs,0.44
allenma01,7.7,18.1,0.428,0.0,0.1,0.0,1.4,,,2.0,6.8,103.0,7.7,18.2,0.426,2.3,2.9,0.803,151.0,81.0,MIA (4 Yrs),3343.0,3.5,92.0,5.9,17.8,,0.9,MIA (4 Yrs),2.7,10.3,MIA (4 Yrs),0.426
allenma01,8.7,19.3,0.451,0.0,0.1,0.5,1.4,,,1.2,6.6,102.0,8.8,19.4,0.451,2.0,2.8,0.708,114.0,21.0,CHI (2 Yrs),1339.0,3.3,97.0,6.8,19.5,,1.2,CHI (2 Yrs),2.1,10.0,CHI (2 Yrs),0.452
allenma01,5.0,12.2,0.409,0.1,0.7,0.167,1.8,,,0.6,5.1,110.0,5.1,12.9,0.397,1.3,1.4,0.923,51.0,3.0,DEN (1 Yr),456.0,4.0,93.0,7.6,11.7,,1.2,DEN (1 Yr),2.4,9.1,DEN (1 Yr),0.401
allenma01,6.5,15.1,0.432,0.0,0.1,0.0,3.1,,,1.1,6.1,110.0,6.5,15.2,0.429,0.9,1.9,0.476,49.0,3.0,MIL (1 Yr),579.0,3.1,96.0,8.0,14.0,,0.6,MIL (1 Yr),1.8,9.2,MIL (1 Yr),0.429
allenma01,8.5,17.8,0.475,0.1,0.1,0.5,2.0,,,1.4,5.9,110.0,8.5,17.9,0.475,0.8,0.9,0.923,48.0,12.0,NJN (1 Yr),763.0,2.9,97.0,6.1,17.9,,1.0,NJN (1 Yr),2.2,8.8,NJN (1 Yr),0.477
allenma01,5.3,10.6,0.5,0.0,0.0,,2.4,,,1.6,7.0,107.0,5.3,10.6,0.5,1.8,1.9,0.917,25.0,4.0,DAL (1 Yr),333.0,3.8,110.0,9.6,12.3,,0.6,DAL (1 Yr),2.1,10.9,DAL (1 Yr),0.5
allenma01,9.4,19.4,0.485,0.0,0.0,,1.3,,,2.1,6.0,109.0,9.4,19.4,0.485,2.5,2.7,0.929,22.0,1.0,CHA (1 Yr),271.0,3.1,108.0,4.6,21.3,,1.0,CHA (1 Yr),1.3,9.0,CHA (1 Yr),0.485
allenma01,3.3,9.2,0.355,0.0,0.0,,1.2,,,1.2,5.9,105.0,3.3,9.2,0.355,0.3,0.6,0.5,18.0,0.0,ORL (1 Yr),178.0,3.5,92.0,8.9,6.8,,0.3,ORL (1 Yr),0.9,9.5,ORL (1 Yr),0.355
allenra02,5.8,12.9,0.448,2.5,6.3,0.393,4.4,21.0,,0.2,4.8,110.0,8.3,19.2,0.43,4.3,5.3,0.823,82.0,81.0,NBA,2532.0,2.1,109.0,4.6,23.3,SG,1.6,1996-97,3.2,6.9,MIL,0.494
