college_player_id,college_url,2P,2PA,2Ppct,3P,3PA,3Ppct,AST,Awards,BLK,Class,Conf,DRB,DRtg,FG,FGA,FGpct,FT,FTA,FTpct,G,GS,MP,ORB,ORtg,PF,PTS,Pos,STL,Season,TOV,TRB,Team,eFGpct
malik-allen-1,https://www.sports-reference.com/cbb/players/malik-allen-1.html,,,,,,,,,,SR,Big East,,,,,,,,,33.0,33.0,1103.0,,,,,C,,1999-00,,,Villanova,
malik-allen-1,https://www.sports-reference.com/cbb/players/malik-allen-1.html,,,,,,,,,,Career,Career,,,,,,,,,127.0,61.0,3062.0,,,,,,,Career,,,Career,
ray-allen-1,https://www.sports-reference.com/cbb/players/ray-allen-1.html,,,,,,,,,,FR,Big East,,,,,,,,,34.0,0.0,735.0,,,,,G,,1993-94,,,UConn,
ray-allen-1,https://www.sports-reference.com/cbb/players/ray-allen-1.html,,,,,,,,,,SO,Big East,,,,,,,,,32.0,31.0,1051.0,,,,,G,,1994-95,,,UConn,
ray-allen-1,https://www.sports-reference.com/cbb/players/ray-allen-1.html,,,,,,,,AA-1,,JR,Big East,,,,,,,,,35.0,35.0,1215.0,,,,,G,,1995-96,,,UConn,
ray-allen-1,https://www.sports-reference.com/cbb/players/ray-allen-1.html,,,,,,,,,,Career,Career,,,,,,,,,101.0,66.0,3001.0,,,,,,,Career,,,Career,
tony-allen-1,https://www.sports-reference.com/cbb/players/tony-allen-1.html,,,,,,,,,,JR,Big 12,,,,,,,,,32.0,28.0,998.0,,,,,G,,2002-03,,,Oklahoma St.,
tony-allen-1,https://www.sports-reference.com/cbb/players/tony-allen-1.html,,,,,,,,,,SR,Big 12,,,,,,,,,35.0,34.0,1107.0,,,,,G,,2003-04,,,Oklahoma St.,
tony-allen-1,https://www.sports-reference.com/cbb/players/tony-allen-1.html,,,,,,,,,,Career,Career,,,,,,,,,67.0,62.0,2105.0,,,,,,,Career,,,Career,
al-farouq-aminu-1,https://www.sports-reference.com/cbb/players/al-farouq-aminu-1.html,,,0.57,,,0.179,,,,FR,ACC,,,,,0.516,,,0.671,31.0,30.0,899.0,,,,,F,,2008-09,,,Wake Forest,0.528
al-farouq-aminu-1,https://www.sports-reference.com/cbb/players/al-farouq-aminu-1.html,8.7,18.0,0.484,1.1,3.9,0.273,2.4,,2.6,SO,ACC,11.7,91.0,9.8,21.9,0.447,8.1,11.7,0.698,31.0,30.0,970.0,7.8,105.1,5.3,28.8,F,2.6,2009-10,5.8,19.4,Wake Forest,0.471
al-farouq-aminu-1,https://www.sports-reference.com/cbb/players/al-farouq-aminu-1.html,16.9,32.3,0.522,1.5,6.1,0.238,5.1,,4.8,Career,Career,22.3,91.0,18.3,38.5,0.476,14.1,20.6,0.687,62.0,60.0,1869.0,11.9,105.1,10.1,52.2,,4.3,Career,10.5,34.3,Career,0.495
louis-amundson-1,https://www.sports-reference.com/cbb/players/louis-amundson-1.html,,,,,,,,,,FR,MWC,,,,,,,,,30.0,1.0,315.0,,,,,F,,2001-02,,,UNLV,
louis-amundson-1,https://www.sports-reference.com/cbb/players/louis-amundson-1.html,,,,,,,,,,SO,MWC,,,,,,,,,31.0,8.0,498.0,,,,,F,,2003-04,,,UNLV,
louis-amundson-1,https://www.sports-reference.com/cbb/players/louis-amundson-1.html,,,,,,,,,,JR,MWC,,,,,,,,,30.0,30.0,725.0,,,,,F,,2004-05,,,UNLV,
louis-amundson-1,https://www.sports-reference.com/cbb/players/louis-amundson-1.html,,,,,,,,,,SR,MWC,,,,,,,,,29.0,29.0,815.0,,,,,F,,2005-06,,,UNLV,
louis-amundson-1,https://www.sports-reference.com/cbb/players/louis-amundson-1.html,,,,,,,,,,Career,Career,,,,,,,,,120.0,68.0,2353.0,,,,,,,Career,,,Career,
james-anderson-3,https://www.sports-reference.com/cbb/players/james-anderson-3.html,,,0.497,,,0.379,,,,FR,Big 12,,,,,0.435,,,0.714,33.0,31.0,1021.0,,,,,G,,2007-08,,,Oklahoma St.,0.534
james-anderson-3,https://www.sports-reference.com/cbb/players/james-anderson-3.html,,,0.548,,,0.408,,,,SO,Big 12,,,,,0.482,,,0.829,35.0,35.0,1171.0,,,,,G,,2008-09,,,Oklahoma St.,0.578
james-anderson-3,https://www.sports-reference.com/cbb/players/james-anderson-3.html,7.9,14.4,0.549,3.8,11.3,0.341,4.1,AA-2,1.0,JR,Big 12,6.6,99.2,11.7,25.6,0.457,10.8,13.4,0.81,33.0,33.0,1124.0,3.3,121.3,4.6,38.1,G,2.4,2009-10,4.0,10.0,Oklahoma St.,0.532
james-anderson-3,https://www.sports-reference.com/cbb/players/james-anderson-3.html,18.6,34.6,0.536,11.7,31.1,0.375,8.5,,3.1,Career,Career,16.4,99.2,30.2,65.7,0.46,21.8,27.3,0.797,101.0,99.0,3316.0,10.2,121.3,11.1,93.9,,5.8,Career,11.0,26.6,Career,0.549
ryan-anderson-1,https://www.sports-reference.com/cbb/players/ryan-anderson-1.html,,,,,,,,,,FR,Pac-10,,,,,,,,,33.0,33.0,1096.0,,,,,F,,2006-07,,,Cal,
ryan-anderson-1,https://www.sports-reference.com/cbb/players/ryan-anderson-1.html,,,,,,,,,,SO,Pac-10,,,,,,,,,33.0,33.0,1082.0,,,,,F,,2007-08,,,Cal,
ryan-anderson-1,https://www.sports-reference.com/cbb/players/ryan-anderson-1.html,,,,,,,,,,Career,Career,,,,,,,,,66.0,66.0,2178.0,,,,,,,Career,,,Career,
carmelo-anthony-1,https://www.sports-reference.com/cbb/players/carmelo-anthony-1.html,,,,,,,,AA-2,,FR,Big East,,,,,,,,,35.0,35.0,1274.0,,,,,F,,2002-03,,,Syracuse,
carmelo-anthony-1,https://www.sports-reference.com/cbb/players/carmelo-anthony-1.html,,,,,,,,,,Career,Career,,,,,,,,,35.0,35.0,1274.0,,,,,,,Career,,,Career,
joel-anthony-1,https://www.sports-reference.com/cbb/players/joel-anthony-1.html,,,,,,,,,,JR,MWC,,,,,,,,,31.0,3.0,423.0,,,,,C,,2004-05,,,UNLV,
joel-anthony-1,https://www.sports-reference.com/cbb/players/joel-anthony-1.html,,,,,,,,,,SR,MWC,,,,,,,,,37.0,6.0,669.0,,,,,C,,2006-07,,,UNLV,
joel-anthony-1,https://www.sports-reference.com/cbb/players/joel-anthony-1.html,,,,,,,,,,Career,Career,,,,,,,,,68.0,9.0,1092.0,,,,,,,Career,,,Career,
gilbert-arenas-1,https://www.sports-reference.com/cbb/players/gilbert-arenas-1.html,,,,,,,,,,FR,Pac-10,,,,,,,,,34.0,31.0,1093.0,,,,,G,,1999-00,,,Arizona,
gilbert-arenas-1,https://www.sports-reference.com/cbb/players/gilbert-arenas-1.html,,,,,,,,,,SO,Pac-10,,,,,,,,,36.0,33.0,1044.0,,,,,G,,2000-01,,,Arizona,
gilbert-arenas-1,https://www.sports-reference.com/cbb/players/gilbert-arenas-1.html,,,,,,,,,,Career,Career,,,,,,,,,70.0,64.0,2137.0,,,,,,,Career,,,Career,
trevor-ariza-1,https://www.sports-reference.com/cbb/players/trevor-ariza-1.html,,,,,,,,,,FR,Pac-10,,,,,,,,,25.0,23.0,789.0,,,,,F,,2003-04,,,UCLA,
trevor-ariza-1,https://www.sports-reference.com/cbb/players/trevor-ariza-1.html,,,,,,,,,,Career,Career,,,,,,,,,25.0,23.0,789.0,,,,,,,Career,,,Career,
hilton-armstrong-1,https://www.sports-reference.com/cbb/players/hilton-armstrong-1.html,,,,,,,,,,FR,Big East,,,,,,,,,32.0,22.0,346.0,,,,,C,,2002-03,,,UConn,
hilton-armstrong-1,https://www.sports-reference.com/cbb/players/hilton-armstrong-1.html,,,,,,,,,,SO,Big East,,,,,,,,,35.0,1.0,318.0,,,,,C,,2003-04,,,UConn,
hilton-armstrong-1,https://www.sports-reference.com/cbb/players/hilton-armstrong-1.html,,,,,,,,,,JR,Big East,,,,,,,,,30.0,0.0,373.0,,,,,C,,2004-05,,,UConn,
hilton-armstrong-1,https://www.sports-reference.com/cbb/players/hilton-armstrong-1.html,,,,,,,,,,SR,Big East,,,,,,,,,34.0,33.0,943.0,,,,,C,,2005-06,,,UConn,
hilton-armstrong-1,https://www.sports-reference.com/cbb/players/hilton-armstrong-1.html,,,,,,,,,,Career,Career,,,,,,,,,131.0,56.0,1980.0,,,,,,,Career,,,Career,
carlos-arroyo-1,https://www.sports-reference.com/cbb/players/carlos-arroyo-1.html,,,,,,,,,,FR,TAAC,,,,,,,,,29.0,,774.0,,,,,G,,1997-98,,,FIU,
carlos-arroyo-1,https://www.sports-reference.com/cbb/players/carlos-arroyo-1.html,,,,,,,,,,SO,Sun Belt,,,,,,,,,20.0,,596.0,,,,,G,,1998-99,,,FIU,
